Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Link),Custom field (Rank),Custom field (Root Cause Analysis),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
fabric-ca key type and size configuration not working properly,FAB-8868,28533,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,,rennman,rennman,14/Mar/18 6:52 PM,29/Mar/18 1:33 AM,26/Apr/18 6:50 AM,,,,,,,,v1.2,,,fabric-ca,,,,0,,,,,,,,,"This is a symptom of a more systematic issue, but for the immediate purpose:
 We document under ""Algorithms and key sizes"", that ""The CSR can be customized"" and provide an example:
{code:java}
csr:
  key:
    algo: ecdsa
    size: 256
{code}
However, {{'key'}} is incorrect. It should read {{'keyrequest'}}

Furthermore when initializing or starting server, the environment variables have no effect (regardless of which version I use):
    {{FABRIC_CA_SERVER_CSR_KEYREQUEST_ALGO=ecdsa}}
    {{FABRIC_CA_SERVER_CSR_KEYREQUEST_SIZE=512}}
This still results in fabric-ca server using the default values of {{'ecdsa'}} and {{'256'}}

*However –*  if I actually include the above csr: key block configuration in my server's yaml file, we *do* honor the environment variables (which operationally is not very useful).

So the general issue: we do not honor environment variables for configuration elements which are not explicitly written to the config file. Since the default elements in {{cmd/fabric-ca-server/config.go}} are somewhat arbitrary, it turns out that we *cannot easily customize certain config options*. Key type and size are only one example – but it is a particularly thorny one for automation – once the server is initialized and the key is created, we cannot change it without:
 * artificially deleting the key and cert
 * adding the relevant config to the yaml file (with arbitrary, or even no values)
 * optionally setting the ENV variables
 * restarting the server

One solution would be to add all supported configuration elements to the generated server config file in {{cmd/fabric-ca-server/config.go}}

As an additional benefit, the user would have a ready, explicit, visual reference which documents our selected default values without resorting to <**gasp**> reading the documentation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzyuz:z9n5zq,,,,,,,,rennman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"update ""make docker-fabric-ca"" in fabric-ca release-1.0 branch",FAB-8867,28532,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,rameshthoomu,rameshthoomu,rameshthoomu,14/Mar/18 6:51 PM,27/Mar/18 4:44 PM,26/Apr/18 6:50 AM,27/Mar/18 4:44 PM,,,,,,,v1.0.7,,,fabric-ca-build,,,,0,,,,,,,,,"update ""make docker-fabric-ca"" in fabric-ca release-1.0 branch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029yt:,,,,,,,,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken links in doc page for fabric ca commands,FAB-8854,28506,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,skarim,denyeart,denyeart,14/Mar/18 4:44 AM,14/Mar/18 11:29 PM,26/Apr/18 6:50 AM,14/Mar/18 11:29 PM,,,,,,,v1.1,v1.2,,fabric-docs,,,,0,,,,,,,,,"Links at
http://hyperledger-fabric.readthedocs.io/en/latest/commands/fabric-ca-commands.html
point to fabric-ca rtd *release-1.1.x*, which will not exist.  The final version in rtd to link to is *release-1.1*.  
Note that we could also link to *latest*, although since there is intent to move all docs to a common repository in 1.2 timeframe, I think using *release-1.1* is the better solution for now.

Needs to be addressed in fabric branches *release-1.1* and *master*.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzyuz:z9n41,,,,,,,,denyeart,skarim,,,,,,,,,release-1.1,master,,true,14/Mar/18 4:41 PM;skarim;https://gerrit.hyperledger.org/r/#/c/19159/,14/Mar/18 5:01 PM;denyeart;release-1.1: https://gerrit.hyperledger.org/r/#/c/19161/,,,,,,,,,,,,,,,,,,,,,,
unable to install the golint package in fabric-ca s390x build nodes,FAB-8849,28501,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,,rameshthoomu,rameshthoomu,13/Mar/18 8:55 PM,19/Mar/18 1:52 AM,26/Apr/18 6:50 AM,19/Mar/18 1:52 AM,,,,,,,v1.2,,,fabric-ca-build,,,,0,,,,,,,,,"*unable to install the golint package in s390x build nodes. See the below log from one of the jenkins s390x builds*
{code:java}
00:03:09.478 Installing golint ...
00:03:10.058 package golang.org/x/lint: remote origin not found
00:03:10.059 Running lint ...
00:03:10.060 scripts/check_lint: line 18: /w/workspace/fabric-ca-merge-s390x/gopath/bin/golint: No such file or directory
00:03:10.061 scripts/check_lint: line 18: /w/workspace/fabric-ca-merge-s390x/gopath/bin/golint: No such file or directory
00:03:10.061 scripts/check_lint: line 18: /w/workspace/fabric-ca-merge-s390x/gopath/bin/golint: No such file or directory
00:03:10.061 scripts/check_lint: line 18: /w/workspace/fabric-ca-merge-s390x/gopath/bin/golint: No such file or directory
00:03:10.062 scripts/check_lint: line 18: /w/workspace/fabric-ca-merge-s390x/gopath/bin/golint: No such file or directory
00:03:10.062 scripts/check_lint: line 18: /w/workspace/fabric-ca-merge-s390x/gopath/bin/golint: No such file or directory
00:03:10.063 scripts/check_lint: line 18: /w/workspace/fabric-ca-merge-s390x/gopath/bin/golint: No such file or directory
00:03:10.064 scripts/check_lint: line 18: /w/workspace/fabric-ca-merge-s390x/gopath/bin/golint: No such file or directory
00:03:10.084 scripts/check_lint: line 18: /w/workspace/fabric-ca-merge-s390x/gopath/bin/golint: No such file or directory
00:03:10.084 scripts/check_lint: line 18: /w/workspace/fabric-ca-merge-s390x/gopath/bin/golint: No such file or directory
00:03:10.085 scripts/check_lint: line 18: /w/workspace/fabric-ca-merge-s390x/gopath/bin/golint: No such file or directory
00:03:10.085 No lint errors were found{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029u5:,,,,,,,,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segmentation fault out of deRegisterTxid in chaincode handler,FAB-8848,28500,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,muralisr,sykesm,sykesm,13/Mar/18 8:45 PM,15/Mar/18 9:02 PM,26/Apr/18 6:50 AM,,v1.2,,,,,,v1.2,,,fabric-peer,,,,0,flakes,,,,,,,,"When `deregisterTxid` gets called with a nil `serialSendMsg`, it panics while logging:
{code:java}
unit-tests_1  |       panic: runtime error: invalid memory address or nil pointer dereference

unit-tests_1  | [signal SIGSEGV: segmentation violation code=0x1 addr=0x28 pc=0x107dcd4]

unit-tests_1  |

unit-tests_1  | goroutine 499 [running]:

unit-tests_1  | github.com/hyperledger/fabric/core/chaincode.(*Handler).deRegisterTxid(0xc423634000, 0xc42377efc0, 0x0, 0xc42376ba00)

unit-tests_1  |       github.com/hyperledger/fabric/core/chaincode/_test/_obj_test/handler.go:624 +0x1a4

unit-tests_1  | github.com/hyperledger/fabric/core/chaincode.(*Handler).handleModState.func1.1(0xc423634000, 0xc42377efc0, 0xc42376bd68)

unit-tests_1  |       github.com/hyperledger/fabric/core/chaincode/_test/_obj_test/handler.go:1282 +0x51

unit-tests_1  | panic(0x1176600, 0xc4236f4d50)

unit-tests_1  |       /opt/go/src/runtime/panic.go:491 +0x283{code}
This line
{code:java}
chaincodeLogger.Debugf(""[%s]send %s(serial-%t)"", shorttxid(serialSendMsg.Txid), serialSendMsg.Type, serial)
{code}
dereferences the nil message.

This seems to happen occasionally out of the chaincode unit tests after the recent refactors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029tx:,,,,,,,,muralisr,sykesm,,,,,,,,,,,,,"15/Mar/18 9:02 PM;muralisr;[~sykesm] I tried to recreate this a few times but couldn't. It seems good to add a ""check for nil"" regardless but also would like to know what causes the nil message in the first place. Can you attach logs next time you see it (will keep retrying too) ?",,,,,,,,,,,,,,,,,,,,,,,
Gossip unit consistently fail out of make unit-tests,FAB-8843,28494,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,nirro,sykesm,sykesm,13/Mar/18 4:30 PM,12/Apr/18 11:38 AM,26/Apr/18 6:50 AM,,v1.2,,,,,,v1.2,,,fabric-gossip,,,,0,flakes,gossip,,,,,,,"-FAB-8067- made some changes related to port allocation. As part of that work, gossip packages were removed from the ""serial_packages"" collection in unit-test/run.sh. Since then, the unit tests have failed 3 out of 4 times when run via `make unit-test` on a local workstation.

Example:
{code:java}
unit-tests_1  | --- FAIL: TestDissemination (185.44s)

unit-tests_1  |       gossip_test.go:702: Membership establishment took 3.0046563s

        Error Trace:    sertions.go:221:

        Error:          Didn't stop within a timely manner

unit-tests_1  |               

        Error Trace:    gossip_test.go:1564

                        gossip_test.go:709

        Error:          Timeout expired!

unit-tests_1  |               

unit-tests_1  |       gossip_test.go:710: Block dissemination took 3m0.0086017s

unit-tests_1  |       gossip_test.go:713: Metadata dissemination took 1.7075ms

        Error Trace:    gossip_test.go:716

        Error:          Not equal: 10 (expected)

unit-tests_1  |                               != 4 (actual)

unit-tests_1  |               

unit-tests_1  |       gossip_test.go:742: Leadership message dissemination took 404.2449ms

unit-tests_1  |       gossip_test.go:748: Stopping peers

unit-tests_1  |       gossip_test.go:756: Stop took 2.0080214s

unit-tests_1  |       gossip_test.go:757: Took 3m5.4371263s

unit-tests_1  | FAIL
{code}
accompanied by thousands of lines of additional noise.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029st:,,,,,,,,C0rWin,nirro,sykesm,,,,,,,,,,,,"13/Mar/18 4:41 PM;sykesm;Another example:
{code:java}
unit-tests_1  | 2018-03-13 16:39:29.323 UTC [gossip/gossip#p8] handleMessage -> WARN 348 Message GossipMessage: tag:EMPTY alive_msg:<membership:<endpoint:""1.2.3.4:28620"" pki_id:""localhost:28620"" > timestamp:<inc_num:1520959158287783600 seq_num:21 > > , Envelope: 52 bytes, Signature: 52 bytes Secret payload: 17 bytes, Secret Signature: 17 bytes isn't valid

unit-tests_1  | --- FAIL: TestConfidentiality (0.00s)

unit-tests_1  | panic: listen tcp :42610: bind: address already in use [recovered]

unit-tests_1  |       panic: listen tcp :42610: bind: address already in use

unit-tests_1  |

unit-tests_1  | goroutine 273 [running]:

unit-tests_1  | testing.tRunner.func1(0xc4201f51d0)

unit-tests_1  |       /opt/go/src/testing/testing.go:711 +0x2d2

unit-tests_1  | panic(0xde11c0, 0xc422866b40)

unit-tests_1  |       /opt/go/src/runtime/panic.go:491 +0x283

unit-tests_1  | github.com/hyperledger/fabric/gossip/comm.createGRPCLayer(0xa672, 0xec2458, 0xc4202fb618, 0xc4202fb608, 0x815cbe, 0xc42657b940)

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/comm/comm_impl.go:683 +0x767

unit-tests_1  | github.com/hyperledger/fabric/gossip/comm.NewCommInstanceWithServer(0xa672, 0x143eb00, 0xc42657b920, 0xc426b0a7e0, 0xf, 0x10, 0x0, 0x0, 0x0, 0x0, ...)

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/comm/comm_impl.go:63 +0xb00

unit-tests_1  | github.com/hyperledger/fabric/gossip/gossip.createCommWithServer(0xa672, 0x143eb00, 0xc42657b920, 0xc426b0a7e0, 0xf, 0x10, 0x0, 0xc42657b920, 0x87328b, 0xc422e69a80, ...)

unit-tests_1  |       github.com/hyperledger/fabric/gossip/gossip/_test/_obj_test/gossip_impl.go:184 +0xa5

unit-tests_1  | github.com/hyperledger/fabric/gossip/gossip.NewGossipService(0xc4222eafd0, 0x0, 0x1430700, 0xc4256f2ba8, 0x143e9e0, 0xc4256f2ba8, 0xc426b0a7e0, 0xf, 0x10, 0x0, ...)

unit-tests_1  |       github.com/hyperledger/fabric/gossip/gossip/_test/_obj_test/gossip_impl.go:94 +0x113f

unit-tests_1  | github.com/hyperledger/fabric/gossip/gossip.NewGossipServiceWithServer(0xc4222eafd0, 0x1430700, 0xc4256f2ba8, 0x143e9e0, 0xc4256f2ba8, 0xc426b0a7e0, 0xf, 0x10, 0x0, 0xc421352630, ...)

unit-tests_1  |       github.com/hyperledger/fabric/gossip/gossip/_test/_obj_test/gossip_impl.go:178 +0xa7

unit-tests_1  | github.com/hyperledger/fabric/gossip/gossip.newGossipInstanceWithExternalEndpoint(0xa672, 0x0, 0xc4256f2ba8, 0xc426b0a7b0, 0xf, 0x0, 0x0, 0x0, 0x518f2a70205edb94, 0x4c1538aacec57a38)

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/gossip/orgs_test.go:116 +0x3ae

unit-tests_1  | github.com/hyperledger/fabric/gossip/gossip.TestConfidentiality(0xc4201f51d0)

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/gossip/orgs_test.go:335 +0x650

unit-tests_1  | testing.tRunner(0xc4201f51d0, 0xec0d20)

unit-tests_1  |       /opt/go/src/testing/testing.go:746 +0xd0

unit-tests_1  | created by testing.(*T).Run

unit-tests_1  |       /opt/go/src/testing/testing.go:789 +0x2de

unit-tests_1  | FAIL  github.com/hyperledger/fabric/gossip/gossip     41.750s{code}","13/Mar/18 4:46 PM;sykesm;Another example:
{code:java}
unit-tests_1  | 2018-03-13 16:45:43.232 UTC [gossip/discovery#localhost:12611] expireDeadMembers -> WARN 148 Exiting

unit-tests_1  | --- FAIL: TestMsgStoreExpiration (38.13s)

        Error Trace:    discovery_test.go:1303

                        discovery_test.go:936

        Error:          Received unexpected error ""context deadline exceeded""

        Messages:       Timeout expired!{code}","13/Mar/18 4:46 PM;sykesm;Another example:
{code:java}
unit-tests_1  | 2018-03-13 16:46:01.739 UTC [gossip/gossip#p1] UpdateLedgerHeight -> WARN 013 No such channel [99 104 97 110 66]

unit-tests_1  | panic: listen tcp :32611: bind: address already in use

unit-tests_1  |

unit-tests_1  | goroutine 402 [running]:

unit-tests_1  | github.com/hyperledger/fabric/gossip/comm.createGRPCLayer(0x7f63, 0x100c170, 0xc420514948, 0xc420514938, 0x8a0f0e, 0xc42039a680)

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/comm/comm_impl.go:683 +0x767

unit-tests_1  | github.com/hyperledger/fabric/gossip/comm.NewCommInstanceWithServer(0x7f63, 0x15e9b80, 0xc42039a660, 0xc420372280, 0xf, 0x10, 0x0, 0x0, 0x0, 0x0, ...)

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/comm/comm_impl.go:63 +0xb00

unit-tests_1  | github.com/hyperledger/fabric/gossip/gossip.createCommWithServer(0x7f63, 0x15e9b80, 0xc42039a660, 0xc420372280, 0xf, 0x10, 0x0, 0xc42039a660, 0x8ff92b, 0xc4201ea040, ...)

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/gossip/gossip_impl.go:174 +0x9b

unit-tests_1  | github.com/hyperledger/fabric/gossip/gossip.NewGossipService(0xc42036e160, 0x0, 0x15da040, 0x163bd38, 0x15e9be0, 0x163bd38, 0xc420372280, 0xf, 0x10, 0x0, ...)

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/gossip/gossip_impl.go:97 +0x10c9

unit-tests_1  | github.com/hyperledger/fabric/gossip/gossip.NewGossipServiceWithServer(0xc42036e160, 0x15da040, 0x163bd38, 0x15e9be0, 0x163bd38, 0xc420372280, 0xf, 0x10, 0x0, 0x0, ...)

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/gossip/gossip_impl.go:169 +0x9d

unit-tests_1  | github.com/hyperledger/fabric/gossip/service.newGossipInstance(0x7f63, 0x0, 0x64, 0xc420337770, 0x6, 0x6, 0xc4201460c0, 0x20070328)

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/service/gossip_service_test.go:656 +0x4c5

unit-tests_1  | github.com/hyperledger/fabric/gossip/service.startPeers.func1(0xc42000c2e0, 0x2, 0x2, 0x7f63, 0xc420372190, 0x0)

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/service/gossip_service_test.go:625 +0x83

unit-tests_1  | created by github.com/hyperledger/fabric/gossip/service.startPeers

unit-tests_1  |       /opt/gopath/src/github.com/hyperledger/fabric/gossip/service/gossip_service_test.go:623 +0xed

unit-tests_1  | FAIL  github.com/hyperledger/fabric/gossip/service    8.112s{code}",,,,,,,,,,,,,,,,,,,,,
Make command failed in couchdb2.0.0 due to  the url not exists,FAB-8835,28468,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,bjwswang,bjwswang,bjwswang,13/Mar/18 10:08 AM,13/Mar/18 10:10 AM,26/Apr/18 6:50 AM,13/Mar/18 10:10 AM,,,,,,,,,,fabric-build,,,,0,,,,,,,,,"I tried to run ""make all"" command in fabric 1.1-rc1 . But failed in making couchdb image .The tar file not exist  in this url ""https://dist.apache.org/repos/dist/release/couchdb/source/2.0.0"". Only couchdb2.1.1 and couchdb1.7.1 in there.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029nx:,,,,,,,,bjwswang,,,,,,,,,,,,,,13/Mar/18 10:10 AM;bjwswang;Modify the Dockerfile in [https://github.com/hyperledger/fabric/blob/release-1.0/images/couchdb/Dockerfile.in] . Change COUCHDB_VERSION from 2.0.0 to 2.1.1 would work. ,,,,,,,,,,,,,,,,,,,,,,,
deprecated cloudant@1.10.0,FAB-8826,28457,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,harrisob@us.ibm.com,rameshthoomu,rameshthoomu,13/Mar/18 1:13 AM,14/Mar/18 2:09 AM,26/Apr/18 6:50 AM,14/Mar/18 2:09 AM,,,,,,,v1.0.6,v1.1,,"fabric-ca, fabric-sdk-node",,,,0,ci_failure,fabric-sdk-node,,,,,,,"It seems cloudant@1.10.0 package is now deprecated and moved to a new name @cloudant/cloudant.
{code:java}
00:05:21.229 node version =======>
00:05:21.231 v6.9.5
00:05:21.993 npm WARN deprecated cloudant@1.10.0: This package is now scoped. The new name is @cloudant/cloudant
00:05:22.459 npm ERR! Linux 4.4.0-112-generic
00:05:22.459 npm ERR! argv ""/home/jenkins/.nvm/versions/node/v6.9.5/bin/node"" ""/home/jenkins/.nvm/versions/node/v6.9.5/bin/npm"" ""install""
00:05:22.477 npm ERR! node v6.9.5
00:05:22.478 npm ERR! npm  v3.10.10
00:05:22.478 npm ERR! code EREADFILE
00:05:22.478 
00:05:22.478 npm ERR! Error extracting /home/jenkins/.npm/cloudant/1.9.0/package.tgz archive: ENOENT: no such file or directory, open '/home/jenkins/.npm/cloudant/1.9.0/package.tgz'{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029lh:,,,,,,,,harrisob@us.ibm.com,rameshthoomu,,,,,,,,,release-1.0,master,,true,13/Mar/18 6:02 PM;harrisob@us.ibm.com;https://gerrit.hyperledger.org/r/#/c/19125/,13/Mar/18 9:03 PM;harrisob@us.ibm.com;For V1.0 https://gerrit.hyperledger.org/r/#/c/19137/,,,,,,,,,,,,,,,,,,,,,,
Documentation corrections in lazyref/lazycache/futurevalue,FAB-8821,28452,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,,bstasyszyn,bstasyszyn,12/Mar/18 10:39 PM,13/Mar/18 12:31 AM,26/Apr/18 6:50 AM,13/Mar/18 12:31 AM,,,,,,,,,,fabric-sdk-go,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029k5:,,,,,,,,bstasyszyn,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
"Fabric docs showing multiple TOC, titles very small",FAB-8798,28424,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,,joe-alewine,joe-alewine,12/Mar/18 2:47 PM,29/Mar/18 6:51 PM,26/Apr/18 6:50 AM,29/Mar/18 6:51 PM,,,,,,,v1.2,,,fabric-docs,,,,0,,,,,,,,,"http://hyperledger-fabric.readthedocs.io/en/latest/index.html

The new reconfiguration of the docs is confusing and hard to read. The left nav now shows up twice, and the titles of docs are small enough to be hard to read.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzygi:0iv,,,,,,,,denyeart,joe-alewine,markparz,,,,,,,,,,,,"13/Mar/18 12:43 PM;denyeart;I think the recent refactor of the top level TOC does improve navigation, but the fact that the TOC appears twice is problematic.  Any ideas on that [~joe-alewine] [~odowdaibm] [~ChristopherFerris] ?",13/Mar/18 1:44 PM;joe-alewine;[~markparz],"13/Mar/18 4:17 PM;markparz;Agree, the duplication is problematic. The formatting is also bad as the words shrink more and more, getting to a point of being hard to read. ",29/Mar/18 6:51 PM;joe-alewine;Fixed in master branch.,,,,,,,,,,,,,,,,,,,,
Getting slower and slower when shout down nodes and getting SERVICE_UNAVAILABLE response,FAB-8789,28412,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,,kungyc,kungyc,12/Mar/18 7:07 AM,26/Mar/18 6:43 PM,26/Apr/18 6:50 AM,,,,,,,,,,,fabric-sdk-node,,,,0,node-SDK,,,,,,,,"After testing, SDK will be stacked and use more and more time when using ""sendTransaction"" in Channel.js when peers was shut down.

 

Testing scenario:

1. Create and join channel.

 2. Shut down peers in orgs

3. Send endorse proposal to peers.

4. Get SERVICE_UNAVAILABLE response.

3. Send endorse proposal to peers.

4. Get SERVICE_UNAVAILABLE response for 4s later.

......

The more times I loop, the more time the function will take.

 

This situation not just happen on peer, when I send the request to a crashed orderer, it will happen either.",,,,,,,,,,,,,,,,,,,,15/Mar/18 9:43 AM;kungyc;debug.log;https://jira.hyperledger.org/secure/attachment/14779/debug.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029bp:,,,,,,,,denyeart,harrisob@us.ibm.com,kungyc,zhaochy,,,,,,,,,,,13/Mar/18 12:45 PM;denyeart;[~harrisob@us.ibm.com] Any idea?,"14/Mar/18 9:02 PM;harrisob@us.ibm.com;I am unable to recreate. Would you provide a debug log 
export HFC_LOGGING='\{""debug"":""console""}'","15/Mar/18 9:48 AM;kungyc;As the timestamps of debug.log file, the first time I send the broadcast and it took 0.02 s to send back the response, and the second time it took 3s, the third time is 4s, then is 10s, 23s finally is 1m18s.",15/Mar/18 2:40 PM;harrisob@us.ibm.com;What are the versions of GRPC and fabric-client,"15/Mar/18 4:55 PM;kungyc;Fabric-client is 
""version"": ""1.1.0-snapshot.98""
 
Grpc is 
""version"": ""1.9.1""","26/Mar/18 6:42 PM;harrisob@us.ibm.com;I tried again.... still not able to recreate... I set setup a network ... do one good send broadcast, then kill the fabric network when the NodeSDK waits on a 10 second sleep, then have it do more send broadcasts ... which all fail within 150 milliseconds.

Are you setting any other GRPC options ?",,,,,,,,,,,,,,,,,,
