Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Link),Custom field (Rank),Custom field (Root Cause Analysis),Sprint,Sprint,Sprint,Sprint,Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Fix failing multi-broker Kafka bootstrap test,FAB-3289,15881,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,kchristidis,kchristidis,kchristidis,4/21/2017 5:35,6/22/2017 10:43,4/26/2018 6:50,6/22/2017 10:43,v1.0.0-alpha1,,,,v1.0.0,,fabric-orderer,,,,0,kafka,,,,The `bootstrap.feature` test fails in the case of a multi-broker Kafka-based ordering service. We'll need to correct the timing assumptions and orderer references to fix that.,,,,,,,,,,FAB-3291,,,,,,,,,,,,,,,,0|i00w1x:,,,,,,kchristidis,,,,,,,master,,,TRUE,21/Apr/17 5:39 AM;kchristidis;WIP: https://gerrit.hyperledger.org/r/#/c/8335/,"05/May/17 11:34 PM;kchristidis;Fixed the issues with the feature that were causing the Kafka case to fail. They had to do with timing and with targeting the wrong orderer.

Only thing remaining is to have the test automatically detect the addresses of the Kafka brokers and encode them in the system genesis block — [~jeffgarratt]'s on it.",09/May/17 6:14 PM;kchristidis;Not sure why the priority of this one was changed?,11/May/17 2:56 PM;kchristidis;https://gerrit.hyperledger.org/r/#/c/9229/,,,,,,,,,,,,,,,,,,
"Node SDK reports ""logger.warning is not a function""",FAB-3290,15882,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,,YingShi,YingShi,4/21/2017 5:40,5/3/2017 21:03,4/26/2018 6:50,5/3/2017 12:21,v1.0.0,,,,v1.0.0,,fabric-sdk-node,,,,0,node-SDK,,,,"When trying commit b00a5234891766111613a5235b21a3136cf7321d, doing instantiate-chaincode reports ""logger.warning is not a function"".

Caused by line 1972 of fabric-sdk-node/fabric-client/lib/Chain.js:
logger.warning('compareProposalResponseResults - read/writes result sets do not match index=%s',i);

which is merged in commit 9e92c637cb80a8ac838c3fa26815bfad0ef94d3e.

The same occurs in line 338 of fabric-sdk-node/fabric-client/lib/Block.js.

Guess it should be logger.warn().","os: win7
node: 6.9.1
log4js: 0.6.38
node-sdk: b00a5234891766111613a5235b21a3136cf7321d",,,,,,,,,,,FAB-3392,,,,,,,,,,,,,,0|i00w4b:,,,,,,YingShi,,,,,,,master,,,TRUE,26/Apr/17 3:58 PM;jimthematrix;http://gerrit.hyperledger.org/r/8551,,,,,,,,,,,,,,,,,,,,,
logger.warning() does not exist in Chain.js,FAB-3392,15986,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,,jtrayfield,jtrayfield,4/25/2017 16:21,4/26/2017 15:59,4/26/2018 6:50,4/26/2017 15:47,v1.0.0,,,,DUPLICATE,,fabric-sdk-node,,,,0,,,,,"jtrayfield 12:06 PM
2017-04-25T16:00:02.629Z - error: blockchain.js::invoke() Problem: TypeError: logger.warning is not a function
at Chain.compareProposalResponseResults (/Users/jtray/git/bales/node_modules/fabric-client/lib/Chain.js:1772:12)
possible bug in Chain.js

bretharrison 12:12 PM   
@jtrayfield Yes I think you are correct, that is an issue. For now you should change `logger.warning` to `logger.error",node 6.10,600,600,,0%,600,600,,,,,,,,,,,,,,,,,,,0|i00wlx:,,,,,,jtrayfield,,,,,,,,,,,26/Apr/17 3:47 PM;jimthematrix;[~jtrayfield] thanks for reporting this: http://gerrit.hyperledger.org/r/8551,,,,,,,,,,,,,,,,,,,,,
*.db files are not listed in .gitignore,FAB-3393,15987,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,david_dornseifer,david_dornseifer,david_dornseifer,4/25/2017 16:46,4/26/2017 1:29,4/26/2018 6:50,4/26/2017 1:29,,,,,v1.0.0,,fabric-sdk-py,,,,0,,,,,After running tests the .db files will show up as untracked files in git status. ,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzhq:zwir,,,,,,david_dornseifer,,,,,,,master,,,TRUE,25/Apr/17 7:55 PM;david_dornseifer;http://gerrit.hyperledger.org/r/8521,,,,,,,,,,,,,,,,,,,,,
fabric-ca-client - typo in error message,FAB-3425,16020,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,smithbk,rennman,rennman,4/26/2017 16:16,5/26/2017 14:29,4/26/2018 6:50,5/26/2017 14:29,v1.0.0-alpha1,,,,v1.0.0,,fabric-ca,,,,0,,,,,"Minor, but externalized:

Error response from server was: Unlimited enrollments not allowed, value must be equal to or less {color:#d04437}then{color} 1",,,,,,,,,,,,,,,,,,,,,,,,,,0|i00wst:,,,,,,rennman,smithbk,,,,,,master,,,TRUE,26/May/17 1:02 AM;smithbk;http://gerrit.hyperledger.org/r/9849,,,,,,,,,,,,,,,,,,,,,
peer/channel package not using logging,FAB-3528,16125,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,raidinesh80,ChristopherFerris,ChristopherFerris,4/30/2017 13:47,6/5/2017 21:06,4/26/2018 6:50,6/5/2017 21:06,v1.0.0-alpha1,,,,v1.0.0,,fabric-peer,,,,0,quality,,,,"cbf$ grep fmt.Print *
channel.go:			fmt.Println(""Error connecting:"", err)
deliverclient.go:		fmt.Printf(""Error signing envelope %s\n"", err)
deliverclient.go:			fmt.Println(""Error receiving:"", err)
deliverclient.go:			fmt.Println(""Got status "", t)
deliverclient.go:			fmt.Println(""Received block: "", t.Block)
deliverclient.go:		fmt.Println(""Received error:"", err)
join.go:	fmt.Println(""Peer joined the channel!"")
list.go:		fmt.Println(""Channels peers has joined to:"")
list.go:			fmt.Println(""\t"", channel.ChannelId)",,3600,3600,,0%,3600,3600,,,,,,,,,,,,,,,,,,,0|i00xf9:,,,,,,ChristopherFerris,,,,,,,master,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Error: ltdl.h: No such file or directory,FAB-3573,16171,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,,raheelz,raheelz,5/2/2017 20:05,5/4/2017 5:55,4/26/2018 6:50,5/4/2017 5:55,v1.0.0-alpha1,,,,v1.0.0-alpha1,,fabric-build,,,,0,,,,,"Following instructions from here:
https://github.com/IBM-Blockchain/marbles/blob/v3.0/docs/env_setup.md

When running the command to build, receiving the following error:
{{{quote}AzureAD+RaheelZubairy@DESKTOP-3POP4OS MINGW64 ~/go/src/github.com/hyperledger/fabric/examples/chaincode/go/chaincode_example02 ((14055d70...))
$ go build -tags nopkcs11 .
\# github.com/hyperledger/fabric/vendor/github.com/miekg/pkcs11
..\..\..\..\vendor\github.com\miekg\pkcs11\pkcs11.go:29:18: fatal error: ltdl.h: No such file or directory
 #include <ltdl.h>
                  ^
compilation terminated.{quote}}}

Trying to build on a Windows OS.
Thanks.

",,,,,,,,,,,,,,,,,,,,,,,,,,0|i00xyl:,,,,,,raheelz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail to connect to peer2 and peer3 from cli when run getlevel and setlevel,FAB-3608,16223,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,amber-zhang,amber-zhang,amber-zhang,5/3/2017 5:46,5/8/2017 12:04,4/26/2018 6:50,5/8/2017 12:04,,,,,,,fabric-peer,,,,0,,,,,"
---------getlevel-------------------
root@3385917a20a4:/opt/gopath/src/github.com/hyperledger/fabric/peer# CORE_PEER_ADDRESS=peer0:7051 peer logging getlevel gossip/pull#peer0:7051
2017-05-03 05:39:43.060 UTC [cli/logging] getLevel -> INFO 001 Current log level for peer module 'gossip/pull#peer0:7051': CRITICAL
2017-05-03 05:39:43.060 UTC [main] main -> INFO 002 Exiting.....
root@3385917a20a4:/opt/gopath/src/github.com/hyperledger/fabric/peer# CORE_PEER_ADDRESS=peer1:7051 peer logging getlevel gossip/pull#peer1:7051
2017-05-03 05:39:52.906 UTC [cli/logging] getLevel -> INFO 001 Current log level for peer module 'gossip/pull#peer1:7051': WARNING
2017-05-03 05:39:52.906 UTC [main] main -> INFO 002 Exiting.....
root@3385917a20a4:/opt/gopath/src/github.com/hyperledger/fabric/peer# CORE_PEER_ADDRESS=peer2:7051 peer logging getlevel gossip/pull#peer2:7051
2017-05-03 05:40:06.385 UTC [cli/logging] getLevel -> WARN 001 PER:404 - Error trying to connect to local peer
/opt/gopath/src/github.com/hyperledger/fabric/peer/common/common.go:82 github.com/hyperledger/fabric/peer/common.GetAdminClient
/opt/gopath/src/github.com/hyperledger/fabric/peer/clilogging/getlevel.go:46 github.com/hyperledger/fabric/peer/clilogging.getLevel
/opt/gopath/src/github.com/hyperledger/fabric/peer/clilogging/getlevel.go:37 github.com/hyperledger/fabric/peer/clilogging.glob..func1
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:605 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).execute
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:689 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).ExecuteC
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:648 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).Execute
/opt/gopath/src/github.com/hyperledger/fabric/peer/main.go:118 main.main
/opt/go/src/runtime/proc.go:192 runtime.main
/opt/go/src/runtime/asm_amd64.s:2087 runtime.goexit
Caused by: grpc: timed out when dialing
2017-05-03 05:40:06.385 UTC [main] main -> INFO 002 Exiting.....
root@3385917a20a4:/opt/gopath/src/github.com/hyperledger/fabric/peer# CORE_PEER_ADDRESS=peer3:7051 peer logging getlevel gossip/pull#peer3:7051
2017-05-03 05:40:19.738 UTC [cli/logging] getLevel -> WARN 001 PER:404 - Error trying to connect to local peer
/opt/gopath/src/github.com/hyperledger/fabric/peer/common/common.go:82 github.com/hyperledger/fabric/peer/common.GetAdminClient
/opt/gopath/src/github.com/hyperledger/fabric/peer/clilogging/getlevel.go:46 github.com/hyperledger/fabric/peer/clilogging.getLevel
/opt/gopath/src/github.com/hyperledger/fabric/peer/clilogging/getlevel.go:37 github.com/hyperledger/fabric/peer/clilogging.glob..func1
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:605 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).execute
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:689 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).ExecuteC
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:648 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).Execute
/opt/gopath/src/github.com/hyperledger/fabric/peer/main.go:118 main.main
/opt/go/src/runtime/proc.go:192 runtime.main
/opt/go/src/runtime/asm_amd64.s:2087 runtime.goexit
Caused by: grpc: timed out when dialing
2017-05-03 05:40:19.738 UTC [main] main -> INFO 002 Exiting.....


---------------------------------setlevel---------------------

root@3385917a20a4:/opt/gopath/src/github.com/hyperledger/fabric/peer# CORE_PEER_ADDRESS=peer0:7051 peer logging setlevel gossip info         
2017-05-03 05:41:03.139 UTC [cli/logging] setLevel -> INFO 001 Log level set for peer module 'gossip': INFO
2017-05-03 05:41:03.139 UTC [main] main -> INFO 002 Exiting.....
root@3385917a20a4:/opt/gopath/src/github.com/hyperledger/fabric/peer# CORE_PEER_ADDRESS=peer1:7051 peer logging setlevel gossip info
2017-05-03 05:41:11.881 UTC [cli/logging] setLevel -> INFO 001 Log level set for peer module 'gossip': INFO
2017-05-03 05:41:11.881 UTC [main] main -> INFO 002 Exiting.....
root@3385917a20a4:/opt/gopath/src/github.com/hyperledger/fabric/peer# CORE_PEER_ADDRESS=peer2:7051 peer logging setlevel gossip info
2017-05-03 05:41:21.731 UTC [cli/logging] setLevel -> WARN 001 PER:404 - Error trying to connect to local peer
/opt/gopath/src/github.com/hyperledger/fabric/peer/common/common.go:82 github.com/hyperledger/fabric/peer/common.GetAdminClient
/opt/gopath/src/github.com/hyperledger/fabric/peer/clilogging/setlevel.go:47 github.com/hyperledger/fabric/peer/clilogging.setLevel
/opt/gopath/src/github.com/hyperledger/fabric/peer/clilogging/setlevel.go:38 github.com/hyperledger/fabric/peer/clilogging.glob..func4
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:605 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).execute
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:689 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).ExecuteC
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:648 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).Execute
/opt/gopath/src/github.com/hyperledger/fabric/peer/main.go:118 main.main
/opt/go/src/runtime/proc.go:192 runtime.main
/opt/go/src/runtime/asm_amd64.s:2087 runtime.goexit
Caused by: grpc: timed out when dialing
2017-05-03 05:41:21.731 UTC [main] main -> INFO 002 Exiting.....
root@3385917a20a4:/opt/gopath/src/github.com/hyperledger/fabric/peer# CORE_PEER_ADDRESS=peer3:7051 peer logging setlevel gossip info
2017-05-03 05:41:38.769 UTC [cli/logging] setLevel -> WARN 001 PER:404 - Error trying to connect to local peer
/opt/gopath/src/github.com/hyperledger/fabric/peer/common/common.go:82 github.com/hyperledger/fabric/peer/common.GetAdminClient
/opt/gopath/src/github.com/hyperledger/fabric/peer/clilogging/setlevel.go:47 github.com/hyperledger/fabric/peer/clilogging.setLevel
/opt/gopath/src/github.com/hyperledger/fabric/peer/clilogging/setlevel.go:38 github.com/hyperledger/fabric/peer/clilogging.glob..func4
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:605 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).execute
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:689 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).ExecuteC
/opt/gopath/src/github.com/hyperledger/fabric/vendor/github.com/spf13/cobra/command.go:648 github.com/hyperledger/fabric/vendor/github.com/spf13/cobra.(*Command).Execute
/opt/gopath/src/github.com/hyperledger/fabric/peer/main.go:118 main.main
/opt/go/src/runtime/proc.go:192 runtime.main
/opt/go/src/runtime/asm_amd64.s:2087 runtime.goexit
Caused by: grpc: timed out when dialing
2017-05-03 05:41:38.770 UTC [main] main -> INFO 002 Exiting.....",,,,,,,,,,,,,,,,,,,,,,,,,,0|i00y05:,,,,,,amber-zhang,wlahti,,,,,,,,,,"03/May/17 5:20 PM;wlahti;Finally got around to investigating this one. It isn't actually a bug but instead a usage (or maybe a little bit of configuration) problem.

peer0 and peer1 are defined in docker-compose.yaml to include a few more environment variables, which is what allows CLI to run easily for those peers. 

peer2 and peer3 do not have those environment variables, so they either need to be added to your local docker-compose.yaml or specified when making the CLI calls.

For example:
{code}
CORE_PEER_MSPCONFIGPATH=/opt/gopath/src/github.com/hyperledger/fabric/examples/e2e_cli/crypto/peer/peer2/localMspConfig CORE_PEER_ADDRESS=peer2:7051 CORE_PEER_LOCALMSPID=""Org1MSP"" CORE_PEER_TLS_ROOTCERT_FILE=/opt/gopath/src/github.com/hyperledger/fabric/examples/e2e_cli/crypto/peer/peer2/localMspConfig/cacerts/peerOrg1.pem peer logging getlevel peer
{code}

With those environment variables, I'm able to successfully run the commands against peer2 and peer3. Note: I do notice a few unusual log statements from the 'msp' module but I see those even when running the peer0 and peer1 commands so it's unrelated. 

[~amber-zhang] Can you verify that the commands run after following the above recommendation?","08/May/17 10:56 AM;amber-zhang;Hi Will,

Today I pull latest Fabric merged code. It works well with the env variables. thanks

 

root@f584c2ffab1d:/opt/gopath/src/github.com/hyperledger/fabric/peer# CORE_PEER_LOCALMSPID=""Org2MSP"" CORE_PEER_TLS_ROOTCERT_FILE=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org2.example.com/peers/peer0.org2.example.com/tls/ca.crt CORE_PEER_MSPCONFIGPATH=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org2.example.com/users/Admin@org2.example.com/msp CORE_PEER_ADDRESS=peer0.org2.example.com:7051 CORE_PEER_LOCALMSPID=""Org2MSP"" peer logging setlevel gossip warning

2017-05-08 10:50:45.809 UTC [cli/logging] setLevel -> INFO 004 Log level set for peer modules matching regular expression 'gossip': WARNING
2017-05-08 10:50:45.811 UTC [main] main -> INFO 005 Exiting.....

--------------

root@f584c2ffab1d:/opt/gopath/src/github.com/hyperledger/fabric/peer# CORE_PEER_LOCALMSPID=""Org2MSP"" CORE_PEER_TLS_ROOTCERT_FILE=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org2.example.com/peers/peer0.org2.example.com/tls/ca.crt CORE_PEER_MSPCONFIGPATH=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org2.example.com/users/Admin@org2.example.com/msp CORE_PEER_ADDRESS=peer0.org2.example.com:7051 CORE_PEER_LOCALMSPID=""Org2MSP"" peer logging getlevel gossip/state
2017-05-08 10:50:54.716 UTC [cli/logging] getLevel -> INFO 004 Current log level for peer module 'gossip/state': WARNING
2017-05-08 10:50:54.716 UTC [main] main -> INFO 005 Exiting.....

---------------------
root@f584c2ffab1d:/opt/gopath/src/github.com/hyperledger/fabric/peer# CORE_PEER_LOCALMSPID=""Org2MSP"" CORE_PEER_TLS_ROOTCERT_FILE=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org2.example.com/peers/peer0.org2.example.com/tls/ca.crt CORE_PEER_MSPCONFIGPATH=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org2.example.com/users/Admin@org2.example.com/msp CORE_PEER_ADDRESS=peer0.org2.example.com:7051 CORE_PEER_LOCALMSPID=""Org2MSP"" peer logging getlevel gossip/discovery

2017-05-08 10:50:59.343 UTC [cli/logging] getLevel -> INFO 004 Current log level for peer module 'gossip/discovery': WARNING
2017-05-08 10:50:59.343 UTC [main] main -> INFO 005 Exiting.....

 ",,,,,,,,,,,,,,,,,,,,
MSPImpl generates a lot of unformatted output,FAB-3728,16462,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,wlahti,wlahti,wlahti,5/8/2017 16:07,5/12/2017 16:45,4/26/2018 6:50,5/8/2017 17:58,,,,,,,fabric-crypto,,,,0,,,,,"A recent CR, [https://gerrit.hyperledger.org/r/#/c/8961,] contains a fmt.Printf statement that generates a huge amount of output. I spoke with Angelo, the owner of the CR in question, and determined it wasn't meant to be checked in and merged. ",,,,,,,,,,,,,,,,,,,,,,,,,,0|i00zat:,,,,,,wlahti,,,,,,,master,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
"EventHub ctor param ""clientContext"" is not documented",FAB-3956,16774,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,cdaughtr,jtrayfield,jtrayfield,5/16/2017 17:36,5/19/2017 17:32,4/26/2018 6:50,5/19/2017 17:32,,,,,,,fabric-sdk-node,,,,0,,,,,"var EventHub = class \{

/**
 * Constructs an unconnected EventHub
 */

constructor(clientContext) \{

 

 ",,600,600,,0%,600,600,,,,,,,,,,,,,,,,,,,0|i010xh:,,,,,,jtrayfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaincode can't reach Peer when TLS is on and CORE_PEER_ADDRESSAUTODETECT=true,FAB-3986,16821,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,,LeoKotschenreuther,LeoKotschenreuther,5/17/2017 17:58,6/4/2017 20:15,4/26/2018 6:50,6/4/2017 20:15,v1.0.0-alpha1,,,,v1.0.0,,fabric-peer,,,,0,,,,,"I was trying to apply the [e2e example|https://github.com/hyperledger/fabric/tree/master/examples/dchackfest/samples/e2e] to my preexisting Hyperledger setup, especially the TLS settings. I was able to create and join channels and to install chaincode. However, when I was trying to instantiate chaincode, the chaincode container would crash about two seconds after it had started. I attached the chaincode container's log output in a file.

It turned out, I had the environment variable CORE_PEER_ADDRESSAUTODETECT set to ""true"" in my peers. Removing the variable and setting CORE_PEER_ADDRESS to the actual address (an URL like ""peer0.org1.example.com"") in the docker-compose network fixed the problem.

From looking at the log file, it seems like the certificates are generated for the full URL and not the actual IP address of the peer (which makes sense since the IP address can change). If CORE_PEER_ADDRESSAUTODETECT is set to true, the peer seems to get his own IP address and pass that one to the chaincode container instead of the full URL.

Is that behavior supposed to be like that or is that a bug?",,,,,,,,,,,,,17/May/17 5:52 PM;LeoKotschenreuther;log.txt;https://jira.hyperledger.org/secure/attachment/10829/log.txt,,,,,,,,,,,,,0|i0116l:,,,,,,LeoKotschenreuther,muralisr,,,,,,,,,,"01/Jun/17 10:51 PM;muralisr;[~LeoKotschenreuther] its working as ... expected. Auto address detect picks the first non-loopback, IPv4 address in the system. It'll certainly not work for Chaincode when TLS enabled (except for the narrow case of matching the address in the cert).",04/Jun/17 8:15 PM;muralisr;[~LeoKotschenreuther] let me close this as Done. Do reopen if you need clarification please.,,,,,,,,,,,,,,,,,,,,
