Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,FAB-6575,21770,[java-e2e] java e2e tests (testRegisterAttribute..)  are failing while registering user,skarim,rameshthoomu,Highest,Done,Done,11/Oct/17 10:22 AM,16/Oct/17 1:34 PM,
Bug,FAB-6425,21273,Missing grpc dependency in fabric-ca-client,,jtonline,Highest,Done,Done,03/Oct/17 7:12 PM,16/Oct/17 4:50 PM,
Bug,FAB-6310,21014,Node sdk packager could package un-required js files and not include vital files,jimthematrix@gmail.com,davidkel,Highest,Done,Done,27/Sep/17 9:33 AM,02/Oct/17 2:57 PM,
Bug,FAB-6309,21013,npm install has incorrect parameters in platform.go,,davidkel,Highest,Done,Done,27/Sep/17 9:18 AM,02/Oct/17 2:53 PM,
Bug,FAB-6266,20959,SSL errors occur when trying to communicate with multiple peers concurrently,MichaelWang,davidkel,Highest,Done,Done,22/Sep/17 10:29 AM,15/Dec/17 9:01 PM,
Bug,FAB-6257,20950,Unable to install chaincode for marbles,,knagware9,Highest,Done,Done,21/Sep/17 6:58 PM,30/Sep/17 6:21 PM,
Bug,FAB-6220,20908,Unable to instantiate node.js chaincode,zhaochy,davidkel,Highest,Done,Done,19/Sep/17 3:24 PM,01/Dec/17 11:15 AM,
Bug,FAB-6112,20748,Peer should launch node chaincode using npm start,zhaochy,davidkel,Highest,Done,Done,11/Sep/17 6:17 PM,30/Sep/17 12:44 PM,
Bug,FAB-5974,20529,Merge setUserFromConfig() into setUserContext(),harrisob@us.ibm.com,jimthematrix,Highest,Done,Done,30/Aug/17 2:59 PM,02/Oct/17 5:25 PM,
Bug,FAB-5858,20311,byfn e2e test spelling error,PuneetJoshi,TopJohn,Highest,Done,Done,21/Aug/17 9:02 AM,20/Oct/17 7:41 PM,
Bug,FAB-5793,20206,Block deliver client if payload buffer is too full,yacovm,yacovm,Highest,Done,Done,15/Aug/17 10:41 PM,28/Aug/17 8:19 PM,
Bug,FAB-5641,19986,Create and Channel Join using GO-SDK,aleksandar.likic,rohitrocket,Highest,Done,Done,07/Aug/17 7:25 AM,27/Nov/17 1:50 AM,
Bug,FAB-5557,19635,EventHub does not connect or register correctly when called after disconnect,divyank,divyank,Highest,Done,Done,01/Aug/17 12:51 AM,15/Aug/17 7:39 PM,
Bug,FAB-5525,19565,System Channel update fails,jyellick,varadatibm,Highest,Done,Done,28/Jul/17 8:23 PM,30/Jul/17 3:22 PM,
Bug,FAB-5459,19477,Channel update fails for certain conditions,jyellick,varadatibm,Highest,Done,Done,25/Jul/17 7:40 PM,30/Jul/17 1:22 PM,
Bug,FAB-5458,19476,Endorsement validation not post ENDORSEMENT_POLICY_FAILURE,muralisr,harrisob@us.ibm.com,Highest,Done,Done,25/Jul/17 5:31 PM,30/Jul/17 1:22 PM,
Bug,FAB-5434,19434,FVT tests broken due to upgrade of mysql package,mastersingh24,mastersingh24,Highest,Done,Done,23/Jul/17 10:51 AM,31/Jul/17 10:03 AM,
Bug,FAB-5210,19033,Setting of timezone for chaincode container,mastersingh24,rhegde,Highest,Done,Done,07/Jul/17 3:54 PM,28/Aug/17 2:12 PM,
Bug,FAB-5188,18987,[SECURITY] Fabric CA has issues verifying some passwords containing the letter 'e',keithsmith,ptippett,Highest,Done,Done,05/Jul/17 7:06 PM,07/Jul/17 12:09 PM,
Bug,FAB-3974,16807,ca server is crashing on latest fabric-ca commits,smithbk,rameshthoomu,Highest,Done,Done,17/May/17 11:27 AM,17/May/17 4:19 PM,
Bug,FAB-3947,16762,e2e_cli (Getting Started) instructions do not work,nickgaski,denyeart,Highest,Done,Done,16/May/17 11:18 AM,17/May/17 9:19 PM,
Bug,FAB-3929,16737,Wrong jre in docker image ,,dpk2877,Highest,Done,Done,15/May/17 12:19 PM,01/Jun/17 12:41 PM,
Bug,FAB-3928,16736,release notes need to be updated for alpha2,ChristopherFerris,ChristopherFerris,Highest,Done,Done,15/May/17 11:56 AM,17/May/17 9:40 PM,
Bug,FAB-3925,16733,Getting Started guide needs synchronization/updating to v1.0.0-alpha2,nickgaski,ChristopherFerris,Highest,Done,Done,15/May/17 11:45 AM,22/May/17 2:17 AM,
Bug,FAB-3769,16539,java e2e tests are failing on commit e3efe24,kchristidis,rameshthoomu,Highest,Done,Done,10/May/17 1:07 PM,31/May/17 1:58 PM,
Bug,FAB-3768,16538,node sdk e2e tests failed to enroll user admin in s390x build nodes,rameshthoomu,rameshthoomu,Highest,Done,Done,10/May/17 1:00 PM,11/May/17 2:34 AM,
Bug,FAB-3767,16537,Not running latest fabric commit level,rickr,rickr,Highest,Done,Done,10/May/17 12:57 PM,10/May/17 1:55 PM,
Bug,FAB-3756,16507,node.js SDK fails to parse ecerts for SubjectString during re-enroll,jimthematrix,jimthematrix,Highest,Done,Done,09/May/17 5:19 PM,10/May/17 5:02 AM,
Bug,FAB-3733,16476,Getting Started (e2e): Does not work with CouchDB ,AdnanChoudhury,AdnanChoudhury,Highest,Done,Done,08/May/17 6:47 PM,16/May/17 12:48 PM,
Bug,FAB-3732,16475,Query is failing on e2e (cli) tests ,mastersingh24,rameshthoomu,Highest,Done,Done,08/May/17 6:46 PM,12/May/17 4:45 PM,
Bug,FAB-3731,16474,"Fabric-CA uses ""0000-00-00"" as date in the column ""revoked_at"" on enroll ",keithsmith,mrshah-ibm,Highest,Done,Done,08/May/17 6:36 PM,08/May/17 7:11 PM,
Bug,FAB-3713,16433,Fix javaSDK can't match fabric commit level ,sanchezl,zerppen,Highest,Done,Done,08/May/17 8:09 AM,08/May/17 1:52 PM,
Bug,FAB-3700,16413,SDKs need to send chainid to LSCC's instantiate request,jimthematrix,muralisr,Highest,Done,Done,07/May/17 3:04 PM,10/May/17 2:12 PM,
Bug,FAB-3690,16395,SDK Node e2e tests cannot obtain CC with name 'end2end',muralisr,rameshthoomu,Highest,Done,Done,06/May/17 5:46 PM,09/May/17 3:48 PM,
Bug,FAB-3689,16394,dchackfest fabric binaries link is broken,,rameshthoomu,Highest,Done,Done,06/May/17 5:14 PM,12/May/17 4:45 PM,
Bug,FAB-3688,16393,sdk java e2e tests failed to enroll user admin,rickr,rameshthoomu,Highest,Done,Done,06/May/17 5:07 PM,07/May/17 12:18 PM,
Bug,FAB-3669,16340,go unit-tests are failing intermittently,gennadyl,rameshthoomu,Highest,Done,Done,04/May/17 6:14 PM,21/May/17 1:26 PM,
Bug,FAB-3655,16319,Update node dependency to official npm release,jimthematrix,chrisf,Highest,Done,Done,04/May/17 7:29 AM,10/May/17 5:01 AM,
Bug,FAB-3552,16149,Fix build breaks,,jimthematrix,Highest,Done,Done,01/May/17 9:29 PM,03/May/17 9:03 PM,
Bug,FAB-3550,16147,behave tests are failing on latest commits [FABRIC - 16cb17a ],jeffgarratt,rameshthoomu,Highest,Done,Done,01/May/17 8:20 PM,12/May/17 4:45 PM,
Bug,FAB-3518,16115,fabric-ca-server build failure,smithbk,smithbk,Highest,Done,Done,29/Apr/17 11:35 AM,12/May/17 4:55 PM,
Bug,FAB-3493,16090,last_config on block #1 for chaincode instantiation points to #1,kchristidis,jimthematrix,Highest,Done,Done,28/Apr/17 3:23 PM,29/Jun/17 3:54 PM,
Bug,FAB-3492,16089,Node SDK 1.0.0-alpha now installs newly released grpc 1.3.0 and it isn't compatible,sstone1,davidkel,Highest,Done,Done,28/Apr/17 1:45 PM,14/Aug/17 9:42 PM,
Bug,FAB-3459,16055,sdk-node e2e tests are failing on latest sdk-node commits,jimthematrix,rameshthoomu,Highest,Done,Done,27/Apr/17 2:52 PM,03/May/17 2:27 AM,
Bug,FAB-3436,16031,configtx tool failing to generate orderer block to create channel.,kchristidis,rickr,Highest,Done,Done,27/Apr/17 12:57 AM,20/Jul/17 2:16 AM,
Bug,FAB-3433,16028,Can not set transient data in proposals,jimthematrix,jimthematrix,Highest,Done,Done,26/Apr/17 7:47 PM,12/May/17 4:55 PM,
Bug,FAB-3396,15990,index out of range error when registering a user,aambati,aambati,Highest,Done,Done,25/Apr/17 7:35 PM,12/May/17 4:55 PM,
Bug,FAB-3378,15971,Create join channel fail. e2e tests,rickr,rameshthoomu,Highest,Done,Done,24/Apr/17 3:58 PM,05/May/17 11:43 AM,
Bug,FAB-3358,15951,Remove testchainid from peer start up,mastersingh24,mastersingh24,Highest,Done,Done,23/Apr/17 5:37 PM,30/May/17 9:38 AM,
Bug,FAB-3353,15946,A local MSP is not able to update its CRLs,angelo.decaro,elli-androulaki,Highest,Done,Done,23/Apr/17 1:56 PM,12/May/17 4:45 PM,
Bug,FAB-3351,15944,As a fabric developer I want to be able to configure the OrganizationalUnitIdentifiers of a FabricMSPConfig ,angelo.decaro,angelo.decaro,Highest,Done,Done,23/Apr/17 12:52 PM,12/May/17 4:45 PM,
Bug,FAB-3332,15924,peer proposal failed in nodesdk,jimthematrix,rameshthoomu,Highest,Done,Done,22/Apr/17 1:54 AM,22/Sep/17 8:04 PM,
Bug,FAB-3331,15923,Fix fabric-sdk-node/examples/balance-transfer,Ratnakar,vdods,Highest,Done,Done,22/Apr/17 1:43 AM,03/May/17 9:03 PM,
Bug,FAB-3312,15904,"Identity.Validate() rejects if the identity represents one of the rootCAs, intermediateCAs, admins of the msp configuration",adc,elli-androulaki,Highest,Done,Done,21/Apr/17 6:48 PM,12/May/17 4:45 PM,
Bug,FAB-3310,15902,gRPC timeout b/w committer and orderer and SDK event listeners,mastersingh24,rhegde,Highest,Done,Done,21/Apr/17 5:50 PM,23/Jun/17 3:20 PM,
Bug,FAB-3301,15893,Install Proposal fails with error Error: Received message larger than max (7633274 vs. 4194304),jimthematrix,davidkel,Highest,Done,Done,21/Apr/17 1:28 PM,10/May/17 3:49 AM,
Bug,FAB-3300,15892,Define a default chaincode instantiation policy,mne,elli-androulaki,Highest,Done,Done,21/Apr/17 1:26 PM,12/May/17 4:45 PM,
Bug,FAB-3297,15889,BCCSP does not generate PKCS8 compliant private keys when storing to file keystore,mastersingh24,mastersingh24,Highest,Done,Done,21/Apr/17 10:34 AM,12/May/17 4:45 PM,
Bug,FAB-3284,15876,Peer CLI fails to Instantiate Chaicode,Clayton Sims,rhegde,Highest,Done,Done,20/Apr/17 11:44 PM,08/May/17 10:58 AM,
Bug,FAB-3277,15869,gulp test does not return at the end of the execution,jimthematrix,jimthematrix,Highest,Done,Done,20/Apr/17 6:00 PM,03/May/17 9:03 PM,
Bug,FAB-3272,15864,The peer should mark transactions with more than 1 action as invalid,ales,ales,Highest,Done,Done,20/Apr/17 2:06 PM,12/May/17 4:45 PM,
Bug,FAB-3269,15861,The peer does not properly honour endorsement policies,ales,ales,Highest,Done,Done,20/Apr/17 11:32 AM,12/May/17 4:45 PM,
Bug,FAB-3260,15852,e2e tests are failing on sdk-node commit# 9d70798,jimthematrix,rameshthoomu,Highest,Done,Done,19/Apr/17 7:01 PM,20/Apr/17 5:59 PM,
Bug,FAB-3232,15821,Cannot turn on DEBUG log-level for user-chain-code,wlahti,rhegde,Highest,Done,Done,18/Apr/17 8:32 PM,12/May/17 4:45 PM,
Bug,FAB-3219,15808,fabric-Java e2e tests are failing on latest fabric commit (599a7fa),rickr,rameshthoomu,Highest,Done,Done,18/Apr/17 2:10 PM,23/Apr/17 9:42 PM,
Bug,FAB-3216,15805,behave tests are failing inconsistently,jeffgarratt,rameshthoomu,Highest,Done,Done,18/Apr/17 1:08 PM,28/Apr/17 2:04 PM,
Bug,FAB-3215,15804,Omitting a dot in policy principals makes parser segfault,ales,mne,Highest,Done,Done,18/Apr/17 12:51 PM,05/Jun/17 7:14 PM,
Bug,FAB-3188,15775,node e2e tests are failing on latest fabric and sdk-node commits,jimthematrix,rameshthoomu,Highest,Done,Done,16/Apr/17 11:50 PM,03/May/17 9:03 PM,
Bug,FAB-3169,15756,getUserContext after setStateStore does not retrieve from current state store,,pmullaney,Highest,Done,Done,14/Apr/17 8:56 PM,03/May/17 9:03 PM,
Bug,FAB-3157,15744,occasionally CI fails because of some failure in Cobertura collection of coverage stats.,rameshthoomu,ChristopherFerris,Highest,Done,Done,14/Apr/17 2:27 PM,15/Apr/17 12:16 PM,
Bug,FAB-3156,15743,Add pre-endorsement check for the invoked chaincode,ales,elli-androulaki,Highest,Done,Done,14/Apr/17 10:19 AM,12/May/17 4:45 PM,
Bug,FAB-3068,15649,Failure trying to install chaincode ,jimthematrix,greg.haskins,Highest,Done,Done,10/Apr/17 5:26 PM,22/Jun/17 12:32 PM,
Bug,FAB-3053,15634,docs do not link to or provide release history and release notes,,ChristopherFerris,Highest,Done,Done,09/Apr/17 1:46 PM,12/May/17 4:45 PM,
Bug,FAB-3044,15625,Leading 0 no longer required for serial numbers in fabric-ca-client ,mastersingh24,mastersingh24,Highest,Done,Done,08/Apr/17 12:11 PM,03/May/17 9:03 PM,
Bug,FAB-3042,15623,Latest e2e fails,,greg.haskins,Highest,Done,Done,07/Apr/17 9:55 PM,01/Jun/17 2:02 AM,
Bug,FAB-3008,15588,docker-compose CA services failing due to configuration file syntax error,vdods,vdods,Highest,Done,Done,05/Apr/17 8:44 PM,03/May/17 9:03 PM,
Bug,FAB-3006,15586,Bad merge by reviewer causes build break :),rickr,rickr,Highest,Done,Done,05/Apr/17 8:32 PM,05/Apr/17 10:17 PM,
Bug,FAB-2940,15519,Problems attempting to use keystore directory other than .hfc-key-store,cdaughtr,davidkel,Highest,Done,Done,30/Mar/17 8:31 AM,29/Jun/17 5:39 PM,
Bug,FAB-2911,15487,Peer's CouchDB code incorrectly converts a Integer value to a Floating Number thus causing JSON unmarshalling error and leading for user-chaincode to fail the Endorsement Proposal,rhegde,rhegde,Highest,Done,Done,28/Mar/17 6:55 PM,12/May/17 4:45 PM,
Bug,FAB-2904,15480,node e2e tests are failing on latest commits,jimthematrix,rameshthoomu,Highest,Done,Done,28/Mar/17 3:07 PM,02/Apr/17 3:15 PM,
Bug,FAB-2865,15438,Modifying chaincode and compiling causes a failure on cli install command,greg.haskins,bmos299,Highest,Done,Done,23/Mar/17 3:22 PM,12/May/17 4:45 PM,
Bug,FAB-2854,15427,Failed Compilation due to ltdl.h header file missing,nickgaski,bmos299,Highest,Done,Done,22/Mar/17 5:23 PM,09/Mar/18 2:29 PM,
Bug,FAB-2842,15415,fabric-ca-client inserts leading zero in DB entry for serial number,skarim,rennman,Highest,Done,Done,20/Mar/17 11:09 PM,11/Apr/17 1:51 PM,
Bug,FAB-2827,15400,Failure connect orderer peer via TLS ,,rickr,Highest,Done,Done,18/Mar/17 10:18 PM,31/May/17 1:58 PM,
Bug,FAB-2791,15363,Test failed in z390 CI build due to timing issues caused by mixed promises,jimthematrix,jimthematrix,Highest,Done,Done,15/Mar/17 4:01 PM,16/Mar/17 11:54 PM,
Bug,FAB-2787,15359,Client app timeout when the gRPC session is closed by network equipment (LB and/or Firewall),harrisob@us.ibm.com,ibmamnt,Highest,Done,Done,15/Mar/17 4:09 AM,23/Feb/18 6:20 PM,
Bug,FAB-2774,15345,Invoking getRows can't get table information when  column is empty,zerppen,zerppen,Highest,Done,Done,14/Mar/17 9:07 AM,28/Mar/17 6:38 PM,
Bug,FAB-2757,15325,Hyperledger Fabric “Error when deploying chaincode: Failed loading TCerts from TCA”,aambati,KhutPidor,Highest,Done,Done,13/Mar/17 9:18 AM,01/May/17 2:21 PM,
Bug,FAB-2755,15323,user registration is failing in end-to-end tests (node) and (Java Sdk) tests,,rameshthoomu,Highest,Done,Done,12/Mar/17 10:43 PM,15/Mar/17 1:32 PM,
Bug,FAB-2747,15315,Peer CLI must consider Endorsement Proposal Response Status Range 0 to 499 as Success  ,muralisr,rhegde,Highest,Done,Done,12/Mar/17 1:18 AM,12/May/17 4:45 PM,
Bug,FAB-2741,15309,Error while instansiation of ChainCode,muralisr,ManjeetGambhir,Highest,Done,Done,10/Mar/17 9:42 PM,14/Mar/17 8:30 PM,
Bug,FAB-2728,15296,Implement TLS usage in support of bootstrap feature,C0rWin,jeffgarratt,Highest,Done,Done,10/Mar/17 4:05 PM,15/Mar/17 8:49 PM,
Bug,FAB-2724,15292,CouchDB - max number of connections issue during stress test,balaji.viswanathan,denyeart,Highest,Done,Done,10/Mar/17 1:07 PM,12/May/17 4:45 PM,
Bug,FAB-2716,15284,Node SDK loses errors returned from chaincode,harrisob@us.ibm.com,davidkel,Highest,Done,Done,09/Mar/17 7:41 PM,16/Mar/17 11:58 PM,
Bug,FAB-2706,15274,end-to-end (Java SDK) tests are failing on latest commits ,tuand,rameshthoomu,Highest,Done,Done,08/Mar/17 10:17 PM,09/Mar/17 4:39 PM,
Bug,FAB-2705,15273,Behave bootstrap tests are failing in CI - argument of type 'NoneType' is not iterable,jeffgarratt,rameshthoomu,Highest,Done,Done,08/Mar/17 10:07 PM,07/May/17 5:16 PM,
Bug,FAB-2687,15254,Unable to build docker images - cannot find package /common/configvalues/msp,wlahti,rameshthoomu,Highest,Done,Done,08/Mar/17 5:48 AM,08/Mar/17 2:20 PM,
Bug,FAB-2674,15241,behave bootstrap test is failing in CI,latitiah,rameshthoomu,Highest,Done,Done,06/Mar/17 10:52 PM,08/Mar/17 7:30 PM,
Bug,FAB-2655,15222,end-to-end (node sdk) tests are failing on latest commits,jimthematrix,rameshthoomu,Highest,Done,Done,06/Mar/17 2:18 PM,08/Mar/17 2:49 PM,
Bug,FAB-2623,15190,end-to-end (java sdk) tests are failing on latest commits,muralisr,rameshthoomu,Highest,Done,Done,03/Mar/17 4:45 PM,06/Mar/17 2:32 PM,
Bug,FAB-2621,15188,"end-to-end (node sdk) tests are failing with ""Unhandled 'error' event",jimthematrix,rameshthoomu,Highest,Done,Done,03/Mar/17 2:27 PM,04/Mar/17 4:11 AM,
Bug,FAB-2620,15187,Install and instantiate requests need to be made public,rickr,rickr,Highest,Done,Done,03/Mar/17 1:24 PM,03/Mar/17 5:14 PM,
Bug,FAB-2595,15162,end-to-end (cli) tests are failing with Error: Ordering service endpoint  is not valid or missing,,rameshthoomu,Highest,Done,Done,02/Mar/17 2:10 PM,02/Mar/17 2:20 PM,
Bug,FAB-2536,15103,Sending initiate proposal causes Peer panic,wlahti,rickr,Highest,Done,Done,28/Feb/17 3:39 PM,13/Mar/17 1:07 PM,
Bug,FAB-2524,15091,Peer needs to instantiate chaincode using deploymentspec from install,muralisr,greg.haskins,Highest,Done,Done,28/Feb/17 2:53 AM,05/Mar/17 2:33 AM,
Bug,FAB-2514,15081,end-to-end tests are failing with signature is invalid error after merge fabric commit# e3dc14d,jimthematrix,rameshthoomu,Highest,Done,Done,27/Feb/17 9:57 PM,28/Feb/17 2:18 PM,
Bug,FAB-2504,15071,Can Not Run Behave To Create Bootstrap Artifacts - Next Error,jeffgarratt,bmos299,Highest,Done,Done,27/Feb/17 5:17 PM,06/Mar/17 8:28 PM,
Bug,FAB-2467,15030,"configtxgen failed to generate orderer block, and E2E test blocked ",,Nishi,Highest,Done,Done,24/Feb/17 4:29 PM,27/Feb/17 2:21 PM,
Bug,FAB-2463,15026,Signing fails on install proposal ,muralisrini,rickr,Highest,Done,Done,24/Feb/17 2:22 PM,28/Feb/17 3:07 PM,
Bug,FAB-2453,15016,"Node sdk ""end-to-end"" tests are failing after commit merge # 425028f",muralisr,rameshthoomu,Highest,Done,Done,23/Feb/17 8:57 PM,01/Aug/17 8:15 AM,
Bug,FAB-2409,14972,"Unable to execute E2E test , fails at instantiating chaincode step",muralisr,Ratnakar,Highest,Done,Done,21/Feb/17 4:59 PM,25/Feb/17 2:35 PM,
Bug,FAB-2406,14969,Can Not Run Behave To Create Bootstrap Artifacts,jeffgarratt,bmos299,Highest,Done,Done,21/Feb/17 4:32 PM,27/Feb/17 4:50 PM,
Bug,FAB-2245,14805,chaincode instantiate results into peer crash,ales,Ratnakar,Highest,Done,Done,15/Feb/17 2:35 PM,16/Feb/17 3:19 PM,
Bug,FAB-2231,14791,readthedocs build failing consistently while building documentation from readthedocs,rameshthoomu,rameshthoomu,Highest,Done,Done,14/Feb/17 4:25 PM,15/Feb/17 3:05 PM,
Bug,FAB-2216,14774,[node-SDK] end-to-end.js Error: version not provided for chaincode end2end,harrisob@us.ibm.com,jjjjibm,Highest,Done,Done,13/Feb/17 7:38 PM,16/Feb/17 5:56 PM,
Bug,FAB-2184,14741,node-SDK coucbdb-fabricca-tests.js should fail when 'CouchDB KeyValStore is not set successfully,jjjjibm,jjjjibm,Highest,Done,Done,10/Feb/17 7:49 PM,20/Feb/17 6:13 AM,
Bug,FAB-2183,14740,GetStateByRange API: simple key and composite key collisions,Senthil1,Nishi,Highest,Done,Done,10/Feb/17 7:27 PM,22/Jun/17 7:54 PM,
Bug,FAB-2175,14732,Deploy is failing on end-to-end after install/instantiate changes made in fabric,muralisr,rameshthoomu,Highest,Done,Done,10/Feb/17 4:29 PM,20/Feb/17 3:24 AM,
Bug,FAB-2132,14635,[node-SDK] end-to-end.js events.js:160  throw er; // Unhandled 'error' event,,jjjjibm,Highest,Done,Done,08/Feb/17 6:01 PM,16/Feb/17 5:12 PM,
Bug,FAB-1993,14495,[node-SDK] not ok 3 TypeError: Cannot read property 'toArray' of null at EC.sign ,jimthematrix,jjjjibm,Highest,Done,Done,01/Feb/17 7:55 PM,08/Feb/17 3:38 AM,
Bug,FAB-1941,14443,[node-sdk] ERROR: yaml.parser.ParserError: while parsing a block mapping,jimthematrix,jjjjibm,Highest,Done,Done,30/Jan/17 6:37 PM,08/Feb/17 3:39 AM,
Bug,FAB-1929,14431,Address security related debug logging in identities.go module,angelo.decaro,binhn,Highest,Done,Done,29/Jan/17 4:01 PM,12/May/17 4:45 PM,
Bug,FAB-1918,14420,Fix fabric-ca enroll command with no csr file arg,smithbk,smithbk,Highest,Done,Done,28/Jan/17 6:47 PM,07/Mar/17 3:24 PM,
